epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.958,1.66635,1.24234,1.37976,0.64893,0.44777,0.51313,0.26932,1.67459,1.26238,1.40751,0.000332986,0.000332986,0.0670344
2,462.893,1.61571,1.1335,1.36176,0.71493,0.48342,0.57048,0.31515,1.57382,1.07213,1.33021,0.00066603,0.00066603,0.0340341
3,691.684,1.60341,1.1049,1.35627,0.72415,0.49598,0.58152,0.32226,1.54204,1.04494,1.32019,0.000997917,0.000997917,0.00103264
4,1129.56,1.58021,1.07781,1.34729,0.73405,0.49399,0.58751,0.32706,1.55366,1.02717,1.3103,0.000996097,0.000996097,0.000996097
5,1334.48,1.55918,1.04776,1.33172,0.73139,0.50773,0.59507,0.33042,1.54465,1.01798,1.30381,0.000993068,0.000993068,0.000993068
6,1547.16,1.53829,1.03015,1.31857,0.74854,0.50673,0.60255,0.34498,1.4939,0.96109,1.27636,0.000989183,0.000989183,0.000989183
7,1877.59,1.52261,1.01211,1.31075,0.74577,0.5219,0.61262,0.35076,1.46497,0.97494,1.26812,0.000984449,0.000984449,0.000984449
8,2102.21,1.50718,0.99941,1.30098,0.75759,0.51155,0.61014,0.34661,1.48879,0.94671,1.2737,0.000978873,0.000978873,0.000978873
9,2350.53,1.50335,0.99574,1.29878,0.75981,0.52044,0.61954,0.35954,1.46107,0.93975,1.25959,0.000972466,0.000972466,0.000972466
10,2564.18,1.49751,0.98491,1.29207,0.76026,0.52328,0.61982,0.35679,1.47397,0.92287,1.25763,0.000965239,0.000965239,0.000965239
11,2767.37,1.48807,0.97873,1.28761,0.77314,0.52926,0.62714,0.36469,1.45486,0.91246,1.25294,0.000957205,0.000957205,0.000957205
12,2979.29,1.48042,0.96978,1.27968,0.7758,0.53097,0.63177,0.3697,1.43459,0.8943,1.24373,0.000948377,0.000948377,0.000948377
13,3488.8,1.47265,0.96011,1.27729,0.77158,0.5362,0.63432,0.37186,1.42099,0.90302,1.23748,0.000938772,0.000938772,0.000938772
14,3814.77,1.47424,0.95422,1.27285,0.77569,0.53444,0.63474,0.37188,1.43207,0.89102,1.23876,0.000928405,0.000928405,0.000928405
15,4003.41,1.45837,0.94717,1.26906,0.77332,0.53656,0.63644,0.37581,1.40849,0.88336,1.22938,0.000917296,0.000917296,0.000917296
16,4202.53,1.45857,0.93965,1.26357,0.77711,0.5414,0.64125,0.37839,1.4055,0.88348,1.21962,0.000905463,0.000905463,0.000905463
17,4397.07,1.44998,0.93478,1.25991,0.77997,0.543,0.64298,0.37926,1.40845,0.87628,1.22579,0.000892928,0.000892928,0.000892928
18,4700.72,1.44745,0.93513,1.26149,0.78008,0.54607,0.64503,0.3815,1.40046,0.86835,1.22118,0.000879713,0.000879713,0.000879713
19,4985.05,1.44361,0.92906,1.25623,0.78855,0.5429,0.64626,0.38436,1.39524,0.85883,1.21388,0.000865839,0.000865839,0.000865839
20,5572.57,1.44026,0.92882,1.25575,0.78697,0.54758,0.64972,0.38462,1.39438,0.85551,1.21537,0.000851333,0.000851333,0.000851333
21,6519.77,1.43448,0.91767,1.25118,0.78786,0.54824,0.64943,0.3866,1.38548,0.85691,1.21373,0.00083622,0.00083622,0.00083622
22,6717.97,1.42752,0.91786,1.24974,0.79133,0.54761,0.64972,0.38852,1.37796,0.85242,1.20988,0.000820525,0.000820525,0.000820525
23,7185.51,1.42372,0.91094,1.24538,0.78974,0.55178,0.65212,0.38848,1.38602,0.85168,1.20907,0.000804277,0.000804277,0.000804277
24,7384.73,1.42348,0.91106,1.24444,0.78761,0.55329,0.65413,0.39104,1.3775,0.84727,1.20586,0.000787503,0.000787503,0.000787503
25,7580.85,1.41426,0.90574,1.24159,0.79739,0.5527,0.6559,0.39331,1.37055,0.83862,1.20315,0.000770234,0.000770234,0.000770234
26,7756.53,1.41613,0.90276,1.23874,0.79482,0.55363,0.65651,0.39305,1.37041,0.83341,1.20199,0.0007525,0.0007525,0.0007525
27,7928.34,1.41196,0.9015,1.23872,0.79564,0.55382,0.65715,0.39528,1.36263,0.82828,1.19658,0.000734332,0.000734332,0.000734332
28,8101.05,1.40537,0.89744,1.23361,0.80011,0.55268,0.65862,0.39718,1.36002,0.82726,1.19569,0.000715761,0.000715761,0.000715761
29,8292.99,1.40213,0.89214,1.23325,0.79757,0.5554,0.65988,0.39753,1.36055,0.82283,1.19501,0.00069682,0.00069682,0.00069682
30,8467.21,1.40566,0.89132,1.23127,0.79732,0.5614,0.6621,0.39933,1.3561,0.8214,1.19316,0.000677543,0.000677543,0.000677543
31,8639.26,1.40145,0.88669,1.22784,0.79723,0.55979,0.6616,0.39932,1.35223,0.8201,1.19064,0.000657963,0.000657963,0.000657963
32,9057.82,1.39546,0.88341,1.22787,0.79822,0.56203,0.66351,0.40107,1.34953,0.81298,1.18766,0.000638115,0.000638115,0.000638115
33,9233.17,1.39048,0.8813,1.22364,0.80108,0.56178,0.66426,0.4017,1.34789,0.81461,1.18863,0.000618034,0.000618034,0.000618034
34,9404.37,1.38474,0.87403,1.22173,0.79874,0.56238,0.66438,0.40138,1.34911,0.81105,1.18759,0.000597754,0.000597754,0.000597754
35,9576.52,1.38373,0.87099,1.21856,0.80357,0.5623,0.66546,0.40293,1.34454,0.80872,1.18737,0.000577311,0.000577311,0.000577311
36,9957.45,1.38328,0.87241,1.21896,0.80248,0.56358,0.66629,0.40344,1.34393,0.80788,1.18483,0.000556742,0.000556742,0.000556742
37,10124,1.37858,0.86798,1.2157,0.8047,0.56388,0.66722,0.40409,1.3439,0.80533,1.18414,0.000536081,0.000536081,0.000536081
38,10293,1.37612,0.86859,1.21505,0.80186,0.56524,0.66735,0.40437,1.34129,0.80502,1.18285,0.000515366,0.000515366,0.000515366
39,10461.5,1.37402,0.86312,1.21409,0.80354,0.56441,0.66798,0.40551,1.33909,0.8033,1.18161,0.000494634,0.000494634,0.000494634
40,10629.9,1.37046,0.8626,1.20956,0.80452,0.5637,0.66819,0.40527,1.33851,0.80185,1.18063,0.000473919,0.000473919,0.000473919
41,10799,1.36421,0.8586,1.21014,0.80383,0.56525,0.66892,0.40609,1.33785,0.80032,1.17938,0.000453258,0.000453258,0.000453258
42,10966.7,1.36439,0.85527,1.20832,0.80786,0.56509,0.66944,0.40659,1.33638,0.79899,1.17793,0.000432689,0.000432689,0.000432689
43,11170,1.35926,0.85506,1.20795,0.80699,0.56657,0.67031,0.40737,1.33469,0.79774,1.17705,0.000412246,0.000412246,0.000412246
44,11339.2,1.35657,0.84955,1.20561,0.80626,0.56694,0.67035,0.4079,1.33307,0.79653,1.1759,0.000391966,0.000391966,0.000391966
45,11508.3,1.35633,0.85004,1.20406,0.80487,0.56758,0.67082,0.40816,1.33104,0.79578,1.17585,0.000371885,0.000371885,0.000371885
46,11676.1,1.35213,0.8467,1.20228,0.80712,0.56647,0.67093,0.40871,1.33089,0.79342,1.17585,0.000352037,0.000352037,0.000352037
47,11847.8,1.35323,0.84599,1.20168,0.80688,0.56767,0.67187,0.40906,1.33053,0.7923,1.17487,0.000332457,0.000332457,0.000332457
48,12015.5,1.34984,0.842,1.20045,0.80698,0.56855,0.67246,0.40973,1.32979,0.79223,1.17434,0.00031318,0.00031318,0.00031318
49,12185.9,1.34436,0.84052,1.19767,0.80829,0.56822,0.67274,0.40973,1.32953,0.79169,1.17408,0.000294239,0.000294239,0.000294239
50,12353,1.34602,0.83914,1.19638,0.81246,0.56663,0.67289,0.41001,1.32937,0.79059,1.1732,0.000275668,0.000275668,0.000275668
51,12522.1,1.33747,0.83466,1.19661,0.80943,0.56847,0.67284,0.41018,1.32864,0.78977,1.17299,0.0002575,0.0002575,0.0002575
52,12688.4,1.34062,0.83503,1.19482,0.80879,0.56937,0.67328,0.41043,1.32796,0.78937,1.17258,0.000239766,0.000239766,0.000239766
53,12859,1.33858,0.83209,1.19094,0.81054,0.56886,0.67381,0.41077,1.32735,0.78869,1.17229,0.000222497,0.000222497,0.000222497
54,13026.4,1.33554,0.83001,1.19114,0.80964,0.57048,0.67441,0.41114,1.32678,0.78762,1.17192,0.000205723,0.000205723,0.000205723
55,13195.8,1.33401,0.82803,1.18787,0.81118,0.56967,0.67461,0.4113,1.32607,0.7871,1.17145,0.000189475,0.000189475,0.000189475
56,13363.6,1.32751,0.82596,1.18805,0.8084,0.5711,0.6743,0.41139,1.32569,0.78647,1.171,0.00017378,0.00017378,0.00017378
57,13531.8,1.32583,0.824,1.18712,0.80796,0.57184,0.67446,0.41152,1.32555,0.78594,1.17083,0.000158667,0.000158667,0.000158667
58,13782.9,1.32762,0.82345,1.18583,0.80788,0.57233,0.67465,0.41158,1.32539,0.78554,1.17056,0.000144161,0.000144161,0.000144161
59,13953.1,1.3259,0.82133,1.18319,0.80748,0.57285,0.67503,0.41181,1.32531,0.78531,1.1703,0.000130287,0.000130287,0.000130287
60,14120,1.32557,0.82082,1.18464,0.8073,0.57311,0.67512,0.41188,1.32528,0.7848,1.1702,0.000117072,0.000117072,0.000117072
61,14290,1.32193,0.8191,1.18367,0.80766,0.57304,0.67526,0.41192,1.32518,0.78445,1.17019,0.000104537,0.000104537,0.000104537
62,14456.6,1.32066,0.8141,1.18215,0.80796,0.57285,0.6753,0.41192,1.3252,0.78421,1.17005,9.2704e-05,9.2704e-05,9.2704e-05
63,14625.9,1.32124,0.81761,1.18165,0.80814,0.57321,0.67543,0.41202,1.32514,0.7839,1.16999,8.15947e-05,8.15947e-05,8.15947e-05
64,14824.3,1.31679,0.81476,1.18266,0.80887,0.57287,0.67549,0.41216,1.32514,0.78365,1.1699,7.12282e-05,7.12282e-05,7.12282e-05
65,14994.1,1.31599,0.81485,1.17924,0.80921,0.57272,0.67577,0.4122,1.32492,0.78334,1.16967,6.16227e-05,6.16227e-05,6.16227e-05
66,15163.8,1.29362,0.78472,1.1671,0.81033,0.57204,0.67575,0.41221,1.32486,0.78311,1.16954,5.2795e-05,5.2795e-05,5.2795e-05
67,15323.8,1.29211,0.7806,1.16515,0.80964,0.5723,0.6757,0.41221,1.32493,0.78306,1.16951,4.47606e-05,4.47606e-05,4.47606e-05
68,15485.4,1.28971,0.77779,1.16389,0.80995,0.57213,0.67575,0.41219,1.32494,0.78297,1.1694,3.75337e-05,3.75337e-05,3.75337e-05
69,15645.1,1.2894,0.77672,1.16349,0.80918,0.57249,0.67575,0.41216,1.3249,0.78286,1.16936,3.11268e-05,3.11268e-05,3.11268e-05
70,15807.9,1.28684,0.77529,1.16166,0.80942,0.57222,0.67571,0.41219,1.32477,0.78264,1.16928,2.55513e-05,2.55513e-05,2.55513e-05
71,15966.4,1.2868,0.77559,1.16099,0.80948,0.57198,0.67563,0.41216,1.32471,0.78246,1.16931,2.08169e-05,2.08169e-05,2.08169e-05
