epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.343,1.94104,3.04073,2.32174,0.46754,0.26241,0.2316,0.08229,2.07101,6.11165,2.41631,0.000199764,0.000199764,0.0802234
2,236.71,1.85113,2.71129,2.22498,0.36241,0.28095,0.2499,0.084,1.91747,6.20859,2.38415,0.000399739,0.000399739,0.0604234
3,349.736,1.81831,2.58819,2.18842,0.48398,0.37478,0.37025,0.13958,1.89941,3.30148,2.24688,0.000599616,0.000599616,0.0406233
4,462.414,1.7971,2.54162,2.16307,0.53245,0.38865,0.41637,0.19646,1.76198,2.61348,2.11912,0.000799322,0.000799322,0.020823
5,575.738,1.79613,2.45186,2.13429,0.55223,0.43564,0.45046,0.19106,1.82565,2.55228,2.17938,0.000998782,0.000998782,0.00102242
6,687.546,1.7826,2.39839,2.11779,0.5769,0.40457,0.44205,0.16663,1.8933,2.67497,2.26855,0.000998466,0.000998466,0.000998466
7,799.51,1.75931,2.32985,2.09138,0.61899,0.4243,0.47156,0.20439,1.79048,3.1015,2.13569,0.000997792,0.000997792,0.000997792
8,912.308,1.73521,2.27985,2.063,0.61156,0.44505,0.48591,0.21709,1.78662,2.6181,2.14522,0.000996996,0.000996996,0.000996996
9,1023.61,1.73083,2.24195,2.06963,0.62547,0.47433,0.53054,0.25261,1.73278,2.21749,2.07486,0.000996077,0.000996077,0.000996077
10,1134.84,1.72365,2.23258,2.0582,0.58744,0.49672,0.53287,0.24518,1.75663,2.17217,2.0795,0.000995037,0.000995037,0.000995037
11,1246.92,1.69666,2.16962,2.03969,0.64929,0.49127,0.54151,0.26328,1.74604,2.19542,2.08912,0.000993875,0.000993875,0.000993875
12,1358.88,1.70156,2.1696,2.03451,0.66932,0.47923,0.55466,0.26838,1.70707,1.98908,2.06355,0.000992592,0.000992592,0.000992592
13,1470.31,1.66841,2.1248,2.01582,0.65809,0.51453,0.56892,0.28356,1.62073,2.24472,1.9497,0.000991188,0.000991188,0.000991188
14,1582.22,1.68609,2.14105,2.02184,0.68343,0.50822,0.578,0.27242,1.75937,1.98106,2.08995,0.000989663,0.000989663,0.000989663
15,1694.32,1.67605,2.12309,2.00484,0.64308,0.49561,0.55766,0.24623,1.78321,1.97452,2.12841,0.000988019,0.000988019,0.000988019
16,1805.11,1.66232,2.07088,2.00367,0.67878,0.52345,0.59084,0.29866,1.67149,1.92266,2.02322,0.000986254,0.000986254,0.000986254
17,1916.83,1.65338,2.04504,1.99131,0.68317,0.5293,0.60306,0.30185,1.68471,1.84112,2.04151,0.00098437,0.00098437,0.00098437
18,2029.05,1.66537,2.04087,1.99581,0.64979,0.53263,0.59469,0.28608,1.68334,2.0711,2.04863,0.000982367,0.000982367,0.000982367
19,2140.18,1.65051,2.03788,1.98642,0.66142,0.52201,0.58967,0.29845,1.6403,1.80522,1.97898,0.000980246,0.000980246,0.000980246
20,2251.3,1.63962,2.04551,1.98965,0.68176,0.57392,0.62528,0.32446,1.61131,1.89587,1.93244,0.000978007,0.000978007,0.000978007
21,2363.71,1.62244,2.01086,1.96727,0.69249,0.531,0.6148,0.31373,1.62253,2.19801,1.94793,0.000975651,0.000975651,0.000975651
22,2475.11,1.62786,1.97699,1.95953,0.64869,0.56971,0.61875,0.30478,1.68041,1.83233,2.00216,0.000973177,0.000973177,0.000973177
23,2586.72,1.60998,1.94039,1.93443,0.69234,0.55788,0.63264,0.33324,1.58252,1.91726,1.93736,0.000970588,0.000970588,0.000970588
24,2698.95,1.6147,1.94007,1.95088,0.69115,0.56466,0.63993,0.33432,1.58911,1.82659,1.91667,0.000967883,0.000967883,0.000967883
25,2809.94,1.60166,1.91247,1.92315,0.63887,0.54272,0.58933,0.29472,1.68057,1.93705,2.01448,0.000965064,0.000965064,0.000965064
26,2921.45,1.608,1.92644,1.93972,0.68988,0.584,0.65301,0.35173,1.58842,1.67225,1.90592,0.00096213,0.00096213,0.00096213
27,3033.39,1.59568,1.89961,1.92787,0.70706,0.58952,0.65545,0.34079,1.6168,1.68814,1.94984,0.000959083,0.000959083,0.000959083
28,3145.31,1.60204,1.89645,1.92961,0.71347,0.58846,0.66455,0.36146,1.56847,1.64512,1.88777,0.000955923,0.000955923,0.000955923
29,3256.46,1.60043,1.89046,1.94178,0.70024,0.58798,0.65881,0.35777,1.58297,1.75771,1.93361,0.000952651,0.000952651,0.000952651
30,3368.54,1.57926,1.85337,1.90307,0.72408,0.57876,0.664,0.3657,1.53747,1.83153,1.86116,0.000949269,0.000949269,0.000949269
31,3480.58,1.5701,1.85957,1.90397,0.74483,0.60037,0.6796,0.384,1.51943,1.63034,1.84881,0.000945776,0.000945776,0.000945776
32,3591.14,1.56832,1.84328,1.90337,0.69271,0.59732,0.66295,0.36636,1.54224,1.70275,1.86158,0.000942173,0.000942173,0.000942173
33,3702.97,1.57028,1.84575,1.91122,0.72981,0.60943,0.68524,0.36422,1.59153,1.61388,1.9244,0.000938463,0.000938463,0.000938463
34,3815.26,1.57181,1.81092,1.9072,0.73892,0.5782,0.66842,0.36495,1.54992,1.61587,1.86821,0.000934644,0.000934644,0.000934644
35,3926.36,1.56095,1.83858,1.9098,0.72289,0.59473,0.67373,0.37667,1.5457,1.61853,1.86343,0.000930719,0.000930719,0.000930719
36,4037.43,1.55827,1.78279,1.88866,0.71215,0.61321,0.6765,0.37777,1.56896,1.54089,1.89435,0.000926688,0.000926688,0.000926688
37,4149.44,1.54686,1.78205,1.8813,0.72928,0.62229,0.69791,0.37359,1.57186,1.50502,1.9076,0.000922553,0.000922553,0.000922553
38,4260.26,1.55661,1.79103,1.88482,0.73189,0.61428,0.68762,0.37411,1.56657,1.54638,1.89417,0.000918314,0.000918314,0.000918314
39,4371.58,1.55421,1.7818,1.88597,0.73027,0.62071,0.68735,0.37527,1.57286,1.52924,1.90184,0.000913973,0.000913973,0.000913973
