epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9878,1.507,2.62181,1.82689,0.359,0.3838,0.31192,0.15293,1.82405,2.57277,2.5082,0.000332518,0.000332518,0.0670807
2,123.842,1.49955,2.26476,1.8196,0.46395,0.40547,0.39221,0.1937,1.65157,2.21185,2.06626,0.000665689,0.000665689,0.0340805
3,182.799,1.47647,2.15489,1.81473,0.58457,0.48349,0.51233,0.2699,1.74327,1.97459,2.13541,0.000998209,0.000998209,0.00107971
4,240.646,1.43834,2.05363,1.77494,0.62909,0.48736,0.53224,0.27307,1.74197,1.90551,2.15542,0.000997803,0.000997803,0.000997803
5,300.655,1.41056,1.96925,1.748,0.67288,0.49044,0.54685,0.31588,1.52403,1.92961,1.92273,0.000996097,0.000996097,0.000996097
6,360.54,1.36712,1.88169,1.70744,0.67338,0.56789,0.62412,0.38119,1.41007,1.61194,1.80211,0.000993906,0.000993906,0.000993906
7,421.837,1.34838,1.80974,1.68887,0.62562,0.5563,0.58285,0.3442,1.45013,1.68538,1.81646,0.000991232,0.000991232,0.000991232
8,482.552,1.32403,1.75175,1.66907,0.73487,0.60718,0.68209,0.43768,1.31365,1.53054,1.7019,0.000988079,0.000988079,0.000988079
9,541.05,1.30399,1.70413,1.64398,0.72927,0.62698,0.7194,0.47815,1.27212,1.40041,1.66078,0.000984449,0.000984449,0.000984449
10,600.365,1.28224,1.64933,1.62326,0.73164,0.59532,0.66375,0.41988,1.30446,1.4529,1.68736,0.000980345,0.000980345,0.000980345
11,660.671,1.27851,1.63541,1.62509,0.79239,0.62121,0.72291,0.48486,1.22101,1.31339,1.62902,0.000975773,0.000975773,0.000975773
12,722.705,1.24571,1.59356,1.59727,0.79305,0.65725,0.74927,0.48343,1.27062,1.29265,1.66464,0.000970736,0.000970736,0.000970736
13,784.27,1.23982,1.56817,1.59546,0.79181,0.67788,0.76282,0.50893,1.20015,1.18604,1.57441,0.000965239,0.000965239,0.000965239
14,844.557,1.22845,1.53479,1.58105,0.78528,0.63318,0.75262,0.51365,1.22041,1.30762,1.62749,0.000959289,0.000959289,0.000959289
15,904.129,1.21367,1.50443,1.56422,0.81453,0.68462,0.76854,0.53716,1.16165,1.15938,1.54952,0.000952889,0.000952889,0.000952889
16,963.048,1.20751,1.48265,1.56107,0.80927,0.71605,0.79421,0.55087,1.13874,1.09044,1.53761,0.000946048,0.000946048,0.000946048
17,1021.35,1.18636,1.44555,1.54789,0.83081,0.7125,0.80365,0.57031,1.1173,1.05766,1.51203,0.000938772,0.000938772,0.000938772
18,1078.85,1.18847,1.45387,1.54547,0.82323,0.65396,0.76477,0.53707,1.14763,1.21501,1.54667,0.000931067,0.000931067,0.000931067
19,1136.15,1.16878,1.39498,1.53077,0.82887,0.69936,0.7925,0.55905,1.10559,1.0965,1.49869,0.000922942,0.000922942,0.000922942
20,1192.02,1.16173,1.37321,1.52553,0.78016,0.75041,0.8049,0.57154,1.10297,1.05099,1.50105,0.000914405,0.000914405,0.000914405
21,1249.3,1.17505,1.39432,1.52365,0.80673,0.72432,0.7993,0.57657,1.04845,1.06508,1.45201,0.000905463,0.000905463,0.000905463
22,1304.75,1.1392,1.35701,1.50918,0.83701,0.71223,0.8076,0.58463,1.06455,1.06174,1.45945,0.000896127,0.000896127,0.000896127
23,1361.05,1.14325,1.34329,1.50957,0.84237,0.69794,0.80314,0.58887,1.03206,1.02605,1.43519,0.000886404,0.000886404,0.000886404
24,1418.2,1.13113,1.31696,1.49749,0.84908,0.71512,0.81793,0.59915,1.02834,1.00162,1.45694,0.000876305,0.000876305,0.000876305
25,1473.91,1.12453,1.30553,1.49995,0.83499,0.72714,0.81149,0.5909,1.04813,1.02365,1.44556,0.000865839,0.000865839,0.000865839
26,1528.84,1.11682,1.30395,1.49347,0.85623,0.74154,0.82573,0.60827,1.00673,0.94239,1.41467,0.000855018,0.000855018,0.000855018
27,1583.77,1.1026,1.29012,1.48224,0.83761,0.74198,0.82953,0.6086,1.03972,0.95211,1.45373,0.000843851,0.000843851,0.000843851
28,1638.97,1.09672,1.27082,1.47265,0.85774,0.7638,0.84629,0.63113,0.99936,0.92211,1.40002,0.000832349,0.000832349,0.000832349
29,1694.15,1.09437,1.25252,1.47199,0.84898,0.74835,0.83777,0.62596,1.01185,0.92499,1.39339,0.000820525,0.000820525,0.000820525
30,1750.88,1.0906,1.23805,1.46401,0.85646,0.75781,0.84444,0.64696,0.95566,0.88137,1.36471,0.000808389,0.000808389,0.000808389
31,1806.74,1.08018,1.2187,1.46545,0.86587,0.76451,0.85759,0.64191,0.98267,0.87816,1.38819,0.000795954,0.000795954,0.000795954
32,1861.26,1.08519,1.21651,1.45206,0.86943,0.76757,0.85189,0.65158,0.9288,0.87777,1.3479,0.000783231,0.000783231,0.000783231
33,1915.99,1.06178,1.19272,1.4461,0.81415,0.75594,0.82567,0.61579,0.9816,0.94255,1.38506,0.000770234,0.000770234,0.000770234
34,1987.76,1.0545,1.18171,1.43411,0.85479,0.775,0.8585,0.65745,0.94943,0.86569,1.34868,0.000756976,0.000756976,0.000756976
35,2060.29,1.05912,1.16937,1.44146,0.85852,0.76981,0.85963,0.64441,0.97551,0.87346,1.37012,0.000743468,0.000743468,0.000743468
36,2133.47,1.04843,1.16608,1.43944,0.84557,0.78593,0.85318,0.65023,0.93948,0.85844,1.34831,0.000729725,0.000729725,0.000729725
37,2202.49,1.04377,1.14231,1.42949,0.874,0.74725,0.83934,0.64327,0.9106,1.07343,1.31459,0.000715761,0.000715761,0.000715761
38,2262.82,1.0367,1.12965,1.42022,0.87651,0.77441,0.87152,0.67088,0.92619,0.81942,1.32135,0.000701588,0.000701588,0.000701588
39,2322.62,1.03029,1.11739,1.4173,0.87161,0.78652,0.86907,0.66659,0.92653,0.81239,1.32532,0.000687222,0.000687222,0.000687222
40,2380.31,1.02083,1.11725,1.41095,0.87024,0.77715,0.87041,0.66704,0.93608,0.81319,1.34602,0.000672675,0.000672675,0.000672675
41,2439.03,1.01788,1.11716,1.40589,0.87598,0.78561,0.87241,0.6693,0.92435,0.79076,1.32168,0.000657963,0.000657963,0.000657963
42,2500.2,1.01987,1.1126,1.4074,0.88332,0.79393,0.88147,0.68291,0.89783,0.78411,1.29327,0.000643101,0.000643101,0.000643101
43,2560.81,1.00984,1.09526,1.40104,0.89024,0.79185,0.87962,0.67495,0.92781,0.77849,1.31654,0.000628101,0.000628101,0.000628101
44,2619.62,1.00649,1.09247,1.40324,0.8616,0.80581,0.87602,0.68725,0.87565,0.7905,1.27726,0.000612981,0.000612981,0.000612981
45,2679.28,1.00729,1.07341,1.39389,0.88146,0.79505,0.88072,0.6902,0.88154,0.76216,1.27975,0.000597754,0.000597754,0.000597754
46,2737.76,1.00758,1.07119,1.39797,0.88195,0.79791,0.88124,0.68731,0.87978,0.7646,1.27956,0.000582435,0.000582435,0.000582435
47,2795.33,0.97977,1.05734,1.38209,0.89028,0.78821,0.87756,0.68633,0.88583,0.77068,1.2852,0.00056704,0.00056704,0.00056704
48,2854.62,0.98581,1.04644,1.37773,0.89629,0.78853,0.88541,0.69142,0.88414,0.74449,1.28754,0.000551584,0.000551584,0.000551584
49,2915.27,0.98057,1.04079,1.37577,0.87376,0.80499,0.88565,0.68939,0.88607,0.75191,1.27479,0.000536081,0.000536081,0.000536081
50,2974.92,0.97674,1.03086,1.37477,0.906,0.79607,0.88796,0.70212,0.86392,0.73883,1.26548,0.000520548,0.000520548,0.000520548
51,3034.6,0.95678,1.02044,1.36112,0.88734,0.80575,0.88624,0.69734,0.87597,0.73369,1.2808,0.000505,0.000505,0.000505
52,3092.8,0.96115,1.01968,1.36568,0.88566,0.80007,0.88108,0.69647,0.86165,0.75495,1.26798,0.000489452,0.000489452,0.000489452
53,3151.64,0.96706,1.00734,1.36766,0.89761,0.79621,0.87999,0.6972,0.85841,0.73961,1.25948,0.000473919,0.000473919,0.000473919
54,3212.24,0.95712,1.00993,1.36246,0.89309,0.80571,0.88956,0.70183,0.85542,0.72612,1.25703,0.000458416,0.000458416,0.000458416
55,3272.17,0.95781,0.99443,1.36374,0.89028,0.81172,0.89127,0.70392,0.85576,0.72051,1.26035,0.00044296,0.00044296,0.00044296
56,3331.68,0.94857,0.9794,1.34909,0.89548,0.8147,0.89608,0.70857,0.84521,0.70085,1.25389,0.000427565,0.000427565,0.000427565
57,3391.09,0.94569,0.98459,1.35081,0.87275,0.82034,0.89274,0.70702,0.8498,0.70242,1.24919,0.000412246,0.000412246,0.000412246
